lat,lon
3.897042689999999965e+01,-7.692209180000000401e+01
3.897803629999999941e+01,-7.693971919999999898e+01
3.897854949999999974e+01,-7.694066320000000303e+01
3.897859160000000145e+01,-7.694045739999999967e+01
3.897923389999999699e+01,-7.694213589999999670e+01
3.897949599999999748e+01,-7.692594649999999490e+01
3.898067580000000021e+01,-7.693541020000000685e+01
3.898122390000000337e+01,-7.693528480000000513e+01
3.898127219999999937e+01,-7.693617469999999514e+01
3.898127470000000017e+01,-7.694086869999999578e+01
3.898127509999999774e+01,-7.694078880000000709e+01
3.898133529999999780e+01,-7.694087690000000634e+01
3.898134439999999756e+01,-7.694079059999999970e+01
3.898139189999999843e+01,-7.694147739999999658e+01
3.898139410000000282e+01,-7.694134139999999888e+01
3.898142719999999883e+01,-7.694001860000000192e+01
3.898143019999999837e+01,-7.693988950000000671e+01
3.898150449999999978e+01,-7.694144369999999356e+01
3.898151709999999781e+01,-7.693989109999999698e+01
3.898151949999999744e+01,-7.694002199999999903e+01
3.898157520000000176e+01,-7.694421979999999905e+01
3.898170619999999786e+01,-7.694046690000000410e+01
3.898177040000000204e+01,-7.694165649999999346e+01
3.898178269999999657e+01,-7.694126640000000350e+01
3.898188129999999774e+01,-7.693826359999999909e+01
3.898190350000000137e+01,-7.694185779999999397e+01
3.898191570000000183e+01,-7.694178030000000490e+01
3.898191580000000300e+01,-7.693892429999999649e+01
3.898191969999999884e+01,-7.694156309999999621e+01
3.898192629999999781e+01,-7.694119619999999315e+01
3.898192720000000122e+01,-7.694105349999999532e+01
3.898197160000000139e+01,-7.693994490000000042e+01
3.898199249999999694e+01,-7.694297589999999332e+01
3.898199309999999684e+01,-7.694288600000000145e+01
3.898205130000000196e+01,-7.693957399999999325e+01
3.898205759999999742e+01,-7.693907230000000652e+01
3.898206429999999756e+01,-7.694085420000000397e+01
3.898213890000000248e+01,-7.694356439999999964e+01
3.898215770000000191e+01,-7.694210750000000587e+01
